hotspot_id,lat,long,fid,ID_HDC_G0,NAME_MAIN,NAME_LIST,POP_2015,BU_2015
L370768,37.7700193,-122.5028801,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L302090,37.7561942,-122.5100899,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L730351,37.4359191,-122.098918,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L247929,37.8041273,-122.4642633,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L268122,37.8035451,-122.2567177,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1398193,37.8325238,-122.2355292,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L997003,37.5886459,-122.3152274,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1251382,37.9157883,-122.3805285,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L791371,37.7126918,-122.4879456,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L419667,37.7383704,-122.4533987,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L467982,37.5635405,-122.248714,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L4972400,37.3897517,-121.847021,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L109465,37.7207,-122.4931,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L817294,37.7358844,-122.4850059,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L509134,37.7525975,-122.2473836,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L743012,37.7675386,-122.4995971,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L109439,37.7696461,-122.4841261,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L583789,37.8661808,-122.3135376,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1573659,37.7704659,-122.505619,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L8284676,37.416863,-121.928998,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L877812,37.7709183,-122.4947262,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L594012,37.432341,-122.0918369,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L470022,37.2810873,-121.8110847,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1085740,37.7675937,-122.4688053,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L597003,37.855813,-122.2977448,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L279253,37.3354711,-121.8062038,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L597019,37.5657772,-121.9971979,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L2207841,37.7784488,-122.516216,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1526910,37.753073,-122.2223046,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L1010731,37.7695274,-122.4979877,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L2730095,37.440777,-122.11208,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L444754,37.8274804,-122.3125935,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L499374,37.7675496,-122.4734026,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L247966,37.5899626,-122.3215145,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L805682,37.5817932,-122.4099684,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L868295,37.76872,-122.5010347,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L355646,37.7786269,-122.5141132,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
L803681,37.6910881,-122.0530415,10,10,San Jose,"San Jose; San Francisco; Oakland; Fremont; Sunnyvale; Hayward; Berkeley; Santa Clara; San Mateo; Richmond; Mountain View; Redwood City; Alameda; Palo Alto",4609129.782537000253797,1312.896572999999989
